id,Dia,Mes,Ano,Estado,Comunidad,Sitio,Latitud,Longitud,Habitat,Zona,TipoProteccion,ANP,BuzoMonitor,HoraInicial,HoraFinal,ProfundidadInicial,ProfundidadFinal,Temperatura,Visibilidad,Corriente,Transecto,Genero,Especie,GeneroEspecie,Sexo,Talla,ClaseTalla,Abundancia,RC
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Anisotremus,davidsonii,Anisotremus davidsonii,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Caulolatilus,princeps,Caulolatilus princeps,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Chromis,punctipinnis,Chromis punctipinnis,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Embiotoca,jacksoni,Embiotoca jacksoni,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Girella,nigricans,Girella nigricans,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Halichoeres,semicinctus,Halichoeres semicinctus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Heterodontus,francisci,Heterodontus francisci,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Hypsypops,rubicundus,Hypsypops rubicundus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Medialuna,californiensis,Medialuna californiensis,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Mycteroperca,spp,Mycteroperca spp,NA,NA,NA,0,PuntaBaja - Lazaro
