Comunidad,Ano,GeneroEspecie,NombreComun,Arribos,Ingresos,PrecioPromedio,CPI
El Rosario,2008,Panulirus interruptus,Langosta,28622,7155500,250,5.124981692
El Rosario,2009,Panulirus interruptus,Langosta,14069,4924150,350,5.297357127
El Rosario,2010,Panulirus interruptus,Langosta,22687,5558315,245,4.156727837
El Rosario,2011,Panulirus interruptus,Langosta,23203,8469095,365,3.407379617
El Rosario,2012,Panulirus interruptus,Langosta,47943.5,12129706,299,4.111508546
El Rosario,2013,Panulirus interruptus,Langosta,59608,14365528,356,3.806389823
El Rosario,2014,Panulirus interruptus,Langosta,84296.3,22169927,324,4.018617202
El Rosario,2015,Panulirus interruptus,Langosta,91347,23841567,357,2.720641263
El Rosario,2016,Panulirus interruptus,Langosta,87102,20120562,253,2
Guaymas,2008,Panulirus interruptus,Langosta,17173.2,4293300,250,5.124981692
Guaymas,2009,Panulirus interruptus,Langosta,8441.4,2954490,350,5.297357127
Guaymas,2010,Panulirus interruptus,Langosta,13612.2,3334989,245,4.156727837
Guaymas,2011,Panulirus interruptus,Langosta,13921.8,5081457,365,3.407379617
Guaymas,2012,Panulirus interruptus,Langosta,28766.1,7277823.6,299,4.111508546
Guaymas,2013,Panulirus interruptus,Langosta,35764.8,8619316.8,356,3.806389823
Guaymas,2014,Panulirus interruptus,Langosta,50577.78,13301956.2,324,4.018617202
Guaymas,2015,Panulirus interruptus,Langosta,54808.2,14304940.2,357,2.720641263
Guaymas,2016,Panulirus interruptus,Langosta,52261.2,12072337.2,253,2
Maria Elena,2008,Panulirus interruptus,Langosta,10303.92,2575980,250,5.124981692
Maria Elena,2009,Panulirus interruptus,Langosta,5064.84,1772694,350,5.297357127
Maria Elena,2010,Panulirus interruptus,Langosta,8167.32,2000993.4,245,4.156727837
Maria Elena,2011,Panulirus interruptus,Langosta,8353.08,3048874.2,365,3.407379617
Maria Elena,2012,Panulirus interruptus,Langosta,17259.66,4366694.16,299,4.111508546
Maria Elena,2013,Panulirus interruptus,Langosta,21458.88,5171590.08,356,3.806389823
Maria Elena,2014,Panulirus interruptus,Langosta,30346.668,7981173.72,324,4.018617202
Maria Elena,2015,Panulirus interruptus,Langosta,32884.92,8582964.12,357,2.720641263
Maria Elena,2016,Panulirus interruptus,Langosta,31356.72,7243402.32,253,2
