"id","Dia","Mes","Ano","Estado","Comunidad","Sitio","Latitud","Longitud","Habitat","Zona","TipoProteccion","ANP","BuzoMonitor","HoraInicial","HoraFinal","ProfundidadInicial","ProfundidadFinal","Temperatura","Visibilidad","Corriente","Transecto","Genero","Especie","GeneroEspecie","Sexo","Talla","ClaseTalla","Abundancia","RC"
"1 3 2014 El Aboyadero 12",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Norberto Velez","09:48","09:54",18,18.7,NA,7,NA,12,"Chaetodon","humeralis","Chaetodon humeralis","J",7,"6a10",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 12",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Norberto Velez","09:48","09:54",18,18.7,NA,7,NA,12,"Hypsypops","rubicundus","Hypsypops rubicundus","J",8,"6a10",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 12",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Norberto Velez","09:48","09:54",18,18.7,NA,7,NA,12,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,18,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 12",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Norberto Velez","09:48","09:54",18,18.7,NA,7,NA,12,"Mycteroperca","rosacea","Mycteroperca rosacea","J",21,"20a30",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 12",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Norberto Velez","09:48","09:54",18,18.7,NA,7,NA,12,"Mycteroperca","rosacea","Mycteroperca rosacea","J",28,"20a30",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 12",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Norberto Velez","09:48","09:54",18,18.7,NA,7,NA,12,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus","J",13,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 13",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Juan Jose Gomez","09:42","09:46",18,18,19,7,NA,13,"Chaetodon","humeralis","Chaetodon humeralis",NA,7,"6a10",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 13",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Juan Jose Gomez","09:42","09:46",18,18,19,7,NA,13,"Chaetodon","humeralis","Chaetodon humeralis",NA,8,"6a10",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 13",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Juan Jose Gomez","09:42","09:46",18,18,19,7,NA,13,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,14,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 13",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Juan Jose Gomez","09:42","09:46",18,18,19,7,NA,13,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,20,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 14",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Leonardo Vazquez","09:44","09:48",11.1,11.1,NA,NA,NA,14,"Calamus","brachysomus","Calamus brachysomus",NA,16,"11a20",5,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 14",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Leonardo Vazquez","09:44","09:48",11.1,11.1,NA,NA,NA,14,"Calamus","brachysomus","Calamus brachysomus",NA,17,"11a20",5,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 14",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Leonardo Vazquez","09:44","09:48",11.1,11.1,NA,NA,NA,14,"Calamus","brachysomus","Calamus brachysomus",NA,20,"11a20",2,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 14",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Leonardo Vazquez","09:44","09:48",11.1,11.1,NA,NA,NA,14,"Calamus","brachysomus","Calamus brachysomus",NA,23,"20a30",2,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 15",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Leonardo Vazquez","10:25","10:30",12.1,12.1,NA,NA,NA,15,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus",NA,15,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 15",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Leonardo Vazquez","10:25","10:30",12.1,12.1,NA,NA,NA,15,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus",NA,18,"11a20",2,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 15",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Leonardo Vazquez","10:25","10:30",12.1,12.1,NA,NA,NA,15,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,25,"20a30",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 16",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Nieves Quinones","09:44","09:49",12.3,12.5,NA,10,NA,16,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,18,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 16",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Nieves Quinones","09:44","09:49",12.3,12.5,NA,10,NA,16,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,20,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 16",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Nieves Quinones","09:44","09:49",12.3,12.5,NA,10,NA,16,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus",NA,15,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 16",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57483,-112.1049,"Arrecife rocoso","Control","Ninguna",NA,"Nieves Quinones","09:44","09:49",12.3,12.5,NA,10,NA,16,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus",NA,25,"20a30",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 17",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Cipriano Romero","09:18","09:23",11,12,22,5,NA,17,"Calamus","brachysomus","Calamus brachysomus",NA,25,"20a30",4,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 17",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Cipriano Romero","09:18","09:23",11,12,22,5,NA,17,"Calamus","brachysomus","Calamus brachysomus",NA,30,"20a30",2,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 17",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Cipriano Romero","09:18","09:23",11,12,22,5,NA,17,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus",NA,20,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 17",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Cipriano Romero","09:18","09:23",11,12,22,5,NA,17,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus",NA,30,"20a30",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 17",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Cipriano Romero","09:18","09:23",11,12,22,5,NA,17,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,28,"20a30",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 17",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Cipriano Romero","09:18","09:23",11,12,22,5,NA,17,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,30,"20a30",2,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 17",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Cipriano Romero","09:18","09:23",11,12,22,5,NA,17,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,35,"30a40",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 18",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Cipriano Romero","09:43","09:46",11,11,22,5,NA,18,"Calamus","brachysomus","Calamus brachysomus",NA,15,"11a20",3,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 18",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Cipriano Romero","09:43","09:46",11,11,22,5,NA,18,"Calamus","brachysomus","Calamus brachysomus",NA,25,"20a30",2,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 19",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Roger Romero","09:40","09:47",18.2,17.9,19,8,NA,19,"Calamus","brachysomus","Calamus brachysomus",NA,18,"11a20",2,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 19",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Roger Romero","09:40","09:47",18.2,17.9,19,8,NA,19,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,20,"11a20",1,"Gran Reserva - Piedra Patos"
