id,Dia,Mes,Ano,Estado,Comunidad,Sitio,Latitud,Longitud,Habitat,Zona,TipoProteccion,ANP,BuzoMonitor,HoraInicial,HoraFinal,ProfundidadInicial,ProfundidadFinal,Temperatura,Visibilidad,Corriente,Transecto,Genero,Especie,GeneroEspecie,Abundancia,RC
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Aplysia,spp,Aplysia spp,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Cancer,spp,Cancer spp,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Centrostephanus,coronatus,Centrostephanus coronatus,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Crassedoma,giganteum,Crassedoma giganteum,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Cypraea,spp,Cypraea spp,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Haliotis,assimilis,Haliotis assimilis,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Haliotis,corrugata,Haliotis corrugata,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Haliotis,fulgens,Haliotis fulgens,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Haliotis,rufescens,Haliotis rufescens,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Haliotis,sorenseni,Haliotis sorenseni,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Kelletia,kelletii,Kelletia kelletii,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Leptogorgia,chilensis,Leptogorgia chilensis,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Megastraea,turbanica,Megastraea turbanica,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Megastraea,undosa,Megastraea undosa,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Loxorhynchus,grandis,Loxorhynchus grandis,1,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Megathura,crenulata,Megathura crenulata,1,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Mesocentrotus,franciscanus,Mesocentrotus franciscanus,50,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,12:48,12:53,9,7,NA,4,NA,1,Mesocentrotus,franciscanus,Mesocentrotus franciscanus,2,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Muricea,californica,Muricea californica,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Muricea,californica,Muricea californica,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Octopus,spp,Octopus spp,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Panulirus,interruptus,Panulirus interruptus,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Parastichopus,parvimensis,Parastichopus parvimensis,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Patiria,miniata,Patiria miniata,0,PuntaBaja - Lazaro
12 8 2013 Punta Baja 1,12,8,2013,Baja California Sur,El Rosario,Punta Baja,29.9541,-115.8152,Bosque de kelp,Reserva,Reserva comunitaria,NA,Alonso Grosso,11:38,11:44,9,9,NA,4,NA,1,Pisaster,giganteus,Pisaster giganteus,2,PuntaBaja - Lazaro
