Code,Interviewer,Date,Community,Interviewee,Gender,Age,Occupation,TimeOnCommunity,Education,Diver,TimeOnJob,WorkFreq,Q1,Q2_Name,Q2_Year,Q2_Reason,Q3,Q4_1,Q4_2,Q4_3,Q5,Q5_1,Q5_2,Q6,Q7,Q8,Q9,Q10Bef,Q10Aft,Q11,Q12,Q12_1,Q13,Q14_11,Q14_12,Q14_21,Q14_22,Q15,Q16,Q17,Q18Bef,Q18Aft,Q19Bef,Q19Aft,Q20_1,Q20_2,Q20_3,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_21,Q21_22,Q21_23,Q21_24,Q21_3,Q22,Q23,Q24_Action,Q24_Why,Q24_How,Q25
1,John Doe,01/02/2017,Puerto Mateo,Fisher 1,Male,30,President of Coop / Fisher,30,Secondary school,No,10,Daily,Cooperative,Gran Reserva,2010,This was historically a very productive area.,Academics,Community,Academics,Govermnet Agencies,Yes,,,Yes,TURF,Sighting from land,No,10,20,2,Community,Government,Moderate,Low,Restricted,Restricted,Restricted,Stable,Strongly agree,Strongly agree,Low,High,Moderate,Low,Never,Sometimes,Sometimes,Stable,Improved,Improved,Improved,Stable,Improved,Improved,Stable,Improved,Improved,Positive,Yes,Maintain,,,
1,John Doe,01/02/2017,Puerto Mateo,Fisher 1,Male,30,President of Coop / Fisher,30,Secondary school,No,10,Daily,Cooperative,Punta Arenas,2010,This is an area important for fish spawning aggregations,Academics,Community,Academics,Govermnet Agencies,Yes,,,Yes,TURF,Sighting from land,No,10,20,2,Community,Government,Moderate,Low,Restricted,Restricted,Restricted,Stable,Strongly agree,Strongly agree,Low,High,Moderate,Low,Never,Sometimes,Sometimes,Stable,Improved,Improved,Improved,Stable,Improved,Improved,Stable,Improved,Improved,Positive,Yes,Maintain,,,
2,John Doe,01/02/2017,Puerto Mateo,Fisher 2,Male,45,Fisher,40,Primary school,No,28,Daily,,,,,,,,,,,,,,,,,,,Fisheries Organization,,Good,Null,Low,Low,Low,Stable,Strongly agree,Strongly agree,Low,Moderate,Low,Low,Never,Never,Sometimes,Worsened,Stable,Stable,Stable,Stable,Stable,Stable,Improved,Improved,Stable,None,No,,,,
3,John Doe,01/02/2017,Puerto Mateo,Fisher 3,Male,27,Fisher,27,Primary school,Yes,12,Daily,,,,,,,,,,,,,,,,,,,Fisheries Organization,Government,Very Good,Low,Null,Moderate,High,Decreased,Strongly agree,Strongly agree,Low,Low,Moderate,Restricted,Never,Sometimes,Never,Stable,Improved,Stable,Improved,Stable,Improved,Stable,Stable,Stable,Worsened,Positive,Yes,,,,
4,John Doe,01/02/2017,Puerto Mateo,Fisher 4,Female,30,President of Coop / Fisher,30,Secondary school,No,10,Daily,Cooperative,Gran Reserva,2010,My dad used to tell me a lot of fish came out of here,Academics,Community,Academics,Govermnet Agencies,Yes,,,Yes,TURF,Sighting from land,No,10,20,2,Community,Government,Moderate,Low,Restricted,Restricted,Restricted,Stable,Strongly agree,Strongly agree,Low,High,Moderate,Low,Never,Sometimes,Sometimes,Stable,Improved,Improved,Improved,Stable,Improved,Improved,Stable,Improved,Improved,Positive,Yes,Maintain,,,
4,John Doe,01/02/2017,Puerto Mateo,Fisher 4,Female,30,President of Coop / Fisher,30,Secondary school,No,10,Daily,Cooperative,Punta Arenas,2010,"I believe small fish often come here to grow, and then move elsewhere.",Academics,Community,Academics,Govermnet Agencies,Yes,,,Yes,TURF,Sighting from land,No,10,20,2,Community,Government,Moderate,Low,Restricted,Restricted,Restricted,Stable,Strongly agree,Strongly agree,Low,High,Moderate,Low,Never,Sometimes,Sometimes,Stable,Improved,Improved,Improved,Stable,Improved,Improved,Stable,Improved,Improved,Positive,Yes,Maintain,,,
5,John Doe,01/02/2017,Puerto Mateo,Fisher 5,Male,45,Fisher,40,Primary school,No,28,Daily,,,,,,,,,,,,,,,,,,,Fisheries Organization,,Good,Null,Low,Low,Low,Stable,Strongly agree,Strongly agree,Low,Moderate,Low,Low,Never,Never,Sometimes,Worsened,Stable,Stable,Stable,Stable,Stable,Stable,Improved,Improved,Stable,None,No,,,,
6,John Doe,01/02/2017,Puerto Mateo,Fisher 6,Male,27,Fisher,27,Primary school,Yes,12,Daily,,,,,,,,,,,,,,,,,,,Fisheries Organization,Government,Very Good,Low,Null,Moderate,High,Decreased,Strongly agree,Strongly agree,Low,Low,Moderate,Restricted,Never,Sometimes,Never,Stable,Improved,Stable,Improved,Stable,Improved,Stable,Stable,Stable,Worsened,Positive,Yes,,,,
1,John Doe,01/02/2017,San Bartolo,Fisher 1,Male,30,President of Coop / Fisher,30,Secondary school,No,10,Daily,Cooperative,Piedra Norte,2010,This was historically a very productive area.,Academics,Community,Academics,Govermnet Agencies,Yes,,,Yes,TURF,Sighting from land,Yes,20,18,2,Community,Government,Moderate,Low,Restricted,Restricted,Restricted,Stable,Strongly agree,Strongly agree,Low,High,Moderate,Low,Never,Sometimes,Sometimes,Stable,Improved,Improved,Improved,Stable,Improved,Improved,Stable,Improved,Improved,Positive,Yes,Maintain,,,
1,John Doe,01/02/2017,San Bartolo,Fisher 1,Male,30,President of Coop / Fisher,30,Secondary school,No,10,Daily,Cooperative,Piedra Sur,2010,This is an area important for fish spawning aggregations,Academics,Community,Academics,Govermnet Agencies,Yes,,,Yes,TURF,Sighting from land,Yes,20,18,2,Community,Government,Moderate,Low,Restricted,Restricted,Restricted,Stable,Strongly agree,Strongly agree,Low,High,Moderate,Low,Never,Sometimes,Sometimes,Stable,Improved,Improved,Improved,Stable,Improved,Improved,Stable,Improved,Improved,Positive,Yes,Maintain,,,
