Comunidad,Sitio,RC,Zonificacion,Ano,Transecto,GeneroEspecie,Talla,Abundancia,ProfundidadInicial,Visibilidad,Temperatura
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Caulolatilus princeps,21,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Caulolatilus princeps,25,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Caulolatilus princeps,30,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Caulolatilus princeps,40,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Caulolatilus princeps,45,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Caulolatilus princeps,59,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Chromis punctipinnis,8,20,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Chromis punctipinnis,12,35,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Chromis punctipinnis,14,20,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Chromis punctipinnis,15,6,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Embiotoca jacksoni,14,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Embiotoca jacksoni,15,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Embiotoca jacksoni,16,4,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Embiotoca jacksoni,21,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Embiotoca jacksoni,22,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Embiotoca jacksoni,23,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Embiotoca jacksoni,25,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Embiotoca jacksoni,26,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Embiotoca jacksoni,30,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Girella nigricans,14,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Girella nigricans,15,3,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Girella nigricans,18,3,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Girella nigricans,20,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Girella nigricans,21,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Girella nigricans,25,3,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Girella nigricans,26,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Halichoeres semicinctus,15,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Halichoeres semicinctus,16.5,27,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Hypsypops rubicundus,30,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Oxyjulis californica,7,14,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Oxyjulis californica,8,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Oxyjulis californica,10,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Paralabrax clathratus,18,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Paralabrax clathratus,26,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Paralabrax clathratus,30,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Paralabrax clathratus,45,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Rhacochilus vacca,20,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Rhacochilus vacca,22,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Rhacochilus vacca,23,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Rhacochilus vacca,25,7,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Rhacochilus vacca,26,4,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Rhacochilus vacca,28,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Rhacochilus vacca,30,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Rhacochilus vacca,31,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Rhacochilus vacca,33,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes atrovirens,21,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes atrovirens,22,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes atrovirens,24,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes auriculatus,10,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes auriculatus,18,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes auriculatus,19,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes auriculatus,20,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes auriculatus,22,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes auriculatus,25,4,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes auriculatus,26,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes auriculatus,28,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes auriculatus,30,3,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes carnatus,10,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes carnatus,15,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes carnatus,16,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes carnatus,23,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes carnatus,25,3,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes carnatus,28,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes carnatus,30,3,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes carnatus,36,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes chrysomelas,28,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes chrysomelas,30,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes chrysomelas,33,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rastrelliger,25,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rastrelliger,28,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rastrelliger,30,3,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rastrelliger,35,3,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rufus,16,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rufus,22,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rufus,25,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rufus,26,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rufus,30,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rufus,32,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rufus,35,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes rufus,45,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes serranoides,25,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Sebastes serranoides,30,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,7,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,20,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,21,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,22,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,25,7,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,26,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,27,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,29,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,30,7,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,32.5,5,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,33,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,35,17,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,36,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,37,3,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,38,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,39,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,40,4,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,42,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,45,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,48,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,50,2,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,52,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,55,4,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,56,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,Semicossyphus pulcher,60,1,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2013,1,NA,NA,0,18,4,10
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Caulolatilus princeps,60,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Chromis punctipinnis,10,7,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Chromis punctipinnis,11,38,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Chromis punctipinnis,14,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Chromis punctipinnis,15,11,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Chromis punctipinnis,17,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Chromis punctipinnis,20,47,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Embiotoca jacksoni,7,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Embiotoca jacksoni,8,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Embiotoca jacksoni,10,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Embiotoca jacksoni,20,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Embiotoca jacksoni,23,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Embiotoca jacksoni,31,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Embiotoca jacksoni,40,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Hypsypops rubicundus,17,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Hypsypops rubicundus,23,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Hypsypops rubicundus,30,1,15,8,12
